"","Gene","SYMBOL","ENTREZID","KKU055","KKU055_V1","KKU055_V2"
"11107","ENSG00000163960","UBXN7","26043",15.692341,22.529942,19.583414
"11108","ENSG00000163961","RNF168","165918",8.214557,9.61879,9.179839
"11109","ENSG00000163964","PIGX","54965",32.995376,43.758059,44.236603
"11110","ENSG00000163975","MELTF","4241",11.118783,17.891694,17.577743
"11113","ENSG00000163995","ABLIM2","84448",0.144465,0.145334,0.446686
"11114","ENSG00000164002","EXO5","64789",10.571082,10.665236,8.853991
"11115","ENSG00000164007","CLDN19","149461",0.02583,0,0.020785
"11116","ENSG00000164008","C1orf50","79078",9.264234,11.370947,8.82778
"11117","ENSG00000164010","ERMAP","114625",7.562954,2.941999,2.608146
"11118","ENSG00000164011","ZNF691","51058",8.797314,8.766977,7.355818
"11119","ENSG00000164022","AIMP1","9255",40.372307,44.50448,37.044128
"11120","ENSG00000164023","SGMS2","166929",10.800107,10.296257,8.590887
"11121","ENSG00000164024","METAP1","23173",37.676219,31.258692,30.753408
"11122","ENSG00000164031","DNAJB14","79982",29.994927,23.884872,35.365016
"11123","ENSG00000164032","H2AZ1","3015",662.011621,422.88582,420.314785
"11125","ENSG00000164037","SLC9B1","150159",0.587875,0.058726,0.094327
"11126","ENSG00000164038","SLC9B2","133308",10.91348,10.659942,13.482839
"11127","ENSG00000164039","BDH2","56898",23.51592,27.337216,23.357601
"11128","ENSG00000164040","PGRMC2","10424",46.693483,46.328607,57.342321
"11129","ENSG00000164045","CDC25A","993",40.913569,28.142148,29.881366
"11131","ENSG00000164048","ZNF589","51385",12.421375,18.617064,15.730918
"11132","ENSG00000164049","FBXW12","285231",0.179075,0,0.096766
"11133","ENSG00000164050","PLXNB1","5364",42.623608,31.973354,24.595602
"11134","ENSG00000164051","CCDC51","79714",38.489835,43.343138,43.321594
"11136","ENSG00000164054","SHISA5","51246",198.93696,165.734476,154.771688
"11137","ENSG00000164056","SPRY1","10252",97.355064,97.530774,100.411652
"11138","ENSG00000164061","BSN","8927",0.877277,0.443092,0.459438
"11139","ENSG00000164062","APEH","327",111.2388,139.058915,126.823599
"11140","ENSG00000164066","INTU","27152",4.51455,3.767723,4.631695
"11141","ENSG00000164068","RNF123","63891",13.392666,18.78166,13.721129
"11142","ENSG00000164070","HSPA4L","22824",24.156659,25.293869,26.029741
"11143","ENSG00000164073","MFSD8","256471",7.514306,6.756073,6.458214
"11144","ENSG00000164074","ABHD18","80167",2.776618,3.008242,2.662549
"11145","ENSG00000164076","CAMKV","79012",0.197946,0.837593,0.851096
"11146","ENSG00000164077","MON1A","84315",16.335815,15.180239,15.147889
"11147","ENSG00000164078","MST1R","4486",0.651805,1.303819,1.12408
"11148","ENSG00000164080","RAD54L2","23132",17.700175,14.950947,14.787662
"11149","ENSG00000164081","TEX264","51368",60.135096,51.653105,48.87716
"11150","ENSG00000164082","GRM2","2912",0.040597,0.021445,0
"11151","ENSG00000164086","DUSP7","1849",15.287334,17.477178,16.267107
"11152","ENSG00000164087","POC1A","25886",43.677224,42.614152,39.387807
"11153","ENSG00000164088","PPM1M","132160",3.550345,6.18337,4.348184
"11154","ENSG00000164089","ETNPPL","64850",0.341122,0.725127,0.703718
"11155","ENSG00000164091","WDR82","80335",74.955923,61.802173,61.721464
"11156","ENSG00000164093","PITX2","5308",1.034949,1.858613,2.205432
"11157","ENSG00000164096","C4orf3","401152",26.6041,23.619443,28.96558
"11158","ENSG00000164099","PRSS12","8492",0.85733,5.8674,6.443106
"11159","ENSG00000164100","NDST3","9348",0.08149,0.438621,0.275537
"11160","ENSG00000164104","HMGB2","3148",258.612172,170.629635,155.649312
"11161","ENSG00000164105","SAP30","8819",19.008251,30.185378,24.874583
"11162","ENSG00000164106","SCRG1","11341",0.032321,0.016197,0
"11164","ENSG00000164109","MAD2L1","4085",89.919537,84.847668,75.43866
"11165","ENSG00000164111","ANXA5","308",111.251683,133.884312,133.552696
"11168","ENSG00000164114","MAP9","79884",12.649242,18.092177,19.61774
"11169","ENSG00000164116","GUCY1A1","2982",5.788818,4.474325,3.231364
"11170","ENSG00000164117","FBXO8","26269",1.85344,4.011688,3.65846
"11171","ENSG00000164118","CEP44","80817",5.792712,7.332301,6.889229
"11172","ENSG00000164120","HPGD","3248",0,0.691349,0.749389
"11175","ENSG00000164124","TMEM144","55314",1.71362,5.363538,4.741273
"11176","ENSG00000164125","GASK1B","51313",0.086954,0.342363,0.29052
"11177","ENSG00000164128","NPY1R","4886",0.781787,2.037105,2.579498
"11179","ENSG00000164134","NAA15","80155",51.867529,54.640801,52.190058
"11180","ENSG00000164136","IL15","3600",1.192827,0.965323,2.254386
"11181","ENSG00000164142","FHIP1A","729830",2.592375,4.411066,2.922427
"11182","ENSG00000164144","ARFIP1","27236",19.518262,20.106973,22.3108
"11183","ENSG00000164151","ICE1","23379",20.911138,19.258031,20.274359
"11184","ENSG00000164161","HHIP","64399",31.900421,45.536319,41.878535
"11185","ENSG00000164162","ANAPC10","10393",20.567106,12.617177,18.997613
